question_id,run_index,rating,failures,response,collected_at
1,1,4,0,4,2025-10-23T12:24:51.468774
1,2,4,0,4,2025-10-23T12:24:52.506180
1,3,4,0,4,2025-10-23T12:24:53.531815
1,4,4,0,4,2025-10-23T12:24:54.641459
1,5,4,0,4,2025-10-23T12:24:55.747361
1,6,4,0,4,2025-10-23T12:24:56.804814
1,7,4,0,4,2025-10-23T12:24:57.841191
1,8,4,0,4,2025-10-23T12:24:58.979161
1,9,4,0,4,2025-10-23T12:25:02.422312
1,10,4,0,4,2025-10-23T12:25:03.748360
2,1,4,0,4,2025-10-23T12:25:04.922327
2,2,4,0,4,2025-10-23T12:25:07.320963
2,3,4,0,4,2025-10-23T12:25:08.319802
2,4,4,0,4,2025-10-23T12:25:09.690226
2,5,4,0,4,2025-10-23T12:25:10.870835
2,6,4,0,4,2025-10-23T12:25:12.090732
2,7,4,0,4,2025-10-23T12:25:13.267635
2,8,4,0,4,2025-10-23T12:25:14.620818
2,9,4,0,4,2025-10-23T12:25:15.584365
2,10,4,0,4,2025-10-23T12:25:16.899951
3,1,2,0,2,2025-10-23T12:25:18.031829
3,2,2,0,2,2025-10-23T12:25:19.424976
3,3,2,0,2,2025-10-23T12:25:20.860128
3,4,2,0,2,2025-10-23T12:25:23.388719
3,5,2,0,2,2025-10-23T12:25:26.336422
3,6,2,0,2,2025-10-23T12:25:27.302987
3,7,2,0,2,2025-10-23T12:25:28.930180
3,8,2,0,2,2025-10-23T12:25:29.943625
3,9,2,0,2,2025-10-23T12:25:30.895014
3,10,2,0,2,2025-10-23T12:25:32.744148
4,1,2,0,2,2025-10-23T12:25:33.747396
4,2,2,0,2,2025-10-23T12:25:35.268371
4,3,2,0,2,2025-10-23T12:25:36.298041
4,4,2,0,2,2025-10-23T12:25:37.686217
4,5,2,0,2,2025-10-23T12:25:39.234876
4,6,2,0,2,2025-10-23T12:25:40.602371
4,7,2,0,2,2025-10-23T12:25:41.800853
4,8,2,0,2,2025-10-23T12:25:45.063044
4,9,2,0,2,2025-10-23T12:25:46.176703
4,10,2,0,2,2025-10-23T12:25:47.071094
5,1,2,0,2,2025-10-23T12:25:49.350524
5,2,2,0,2,2025-10-23T12:25:50.417216
5,3,2,0,2,2025-10-23T12:25:51.322733
5,4,2,0,2,2025-10-23T12:25:52.368105
5,5,2,0,2,2025-10-23T12:25:53.429979
5,6,2,0,2,2025-10-23T12:25:54.789919
