question_id,run_index,rating,failures,response,collected_at
1,1,4,1,4,2025-10-23T12:02:49.579755
1,2,4,1,4,2025-10-23T12:02:51.974141
1,3,4,1,4,2025-10-23T12:02:54.154501
1,4,4,1,4,2025-10-23T12:02:56.522837
1,5,4,1,4,2025-10-23T12:02:58.599911
1,6,4,1,4,2025-10-23T12:03:00.774630
1,7,4,1,4,2025-10-23T12:03:03.226307
1,8,4,1,4,2025-10-23T12:03:05.351442
1,9,4,1,4,2025-10-23T12:03:08.129175
1,10,4,1,4,2025-10-23T12:03:11.036658
2,1,4,1,4,2025-10-23T12:03:14.204992
2,2,4,1,4,2025-10-23T12:03:16.520321
2,3,4,1,4,2025-10-23T12:03:18.565746
2,4,4,1,4,2025-10-23T12:03:20.967663
2,5,4,1,4,2025-10-23T12:03:23.470368
2,6,4,1,4,2025-10-23T12:03:26.674277
2,7,4,1,4,2025-10-23T12:03:30.721340
2,8,4,1,4,2025-10-23T12:03:33.593124
2,9,4,1,4,2025-10-23T12:03:35.780896
2,10,4,1,4,2025-10-23T12:03:38.240750
3,1,2,1,2,2025-10-23T12:03:40.983832
3,2,2,1,2,2025-10-23T12:03:43.770509
3,3,2,1,2,2025-10-23T12:03:45.762152
3,4,2,1,2,2025-10-23T12:03:47.820142
3,5,2,1,2,2025-10-23T12:03:50.759268
3,6,2,1,2,2025-10-23T12:03:53.384069
3,7,2,1,2,2025-10-23T12:03:55.613553
3,8,2,1,2,2025-10-23T12:03:57.675076
3,9,2,1,2,2025-10-23T12:04:00.450864
3,10,1,1,1,2025-10-23T12:04:02.433384
4,1,2,1,2,2025-10-23T12:04:04.529717
4,2,2,1,2,2025-10-23T12:04:06.771165
4,3,2,1,2,2025-10-23T12:04:09.005689
4,4,2,1,2,2025-10-23T12:04:11.481408
4,5,2,1,2,2025-10-23T12:04:14.385208
4,6,2,1,2,2025-10-23T12:04:16.791295
4,7,2,1,2,2025-10-23T12:04:19.280435
4,8,2,1,2,2025-10-23T12:04:21.283326
4,9,2,1,2,2025-10-23T12:04:23.362435
4,10,2,1,2,2025-10-23T12:04:25.850103
5,1,2,1,2,2025-10-23T12:04:28.184505
5,2,2,1,2,2025-10-23T12:04:30.376313
5,3,2,1,2,2025-10-23T12:04:34.840945
5,4,2,1,2,2025-10-23T12:04:38.149019
5,5,2,1,2,2025-10-23T12:04:40.381803
5,6,2,1,2,2025-10-23T12:04:42.561406
5,7,2,1,2,2025-10-23T12:04:44.809698
5,8,2,1,2,2025-10-23T12:04:47.054473
5,9,2,1,2,2025-10-23T12:04:49.650158
5,10,2,1,2,2025-10-23T12:04:52.436774
6,1,4,1,4,2025-10-23T12:04:55.263459
6,2,4,1,4,2025-10-23T12:05:03.914168
6,3,4,1,4,2025-10-23T12:05:06.528017
6,4,4,1,4,2025-10-23T12:05:08.915819
6,5,4,1,4,2025-10-23T12:05:11.253047
6,6,4,1,4,2025-10-23T12:05:13.486621
6,7,4,1,4,2025-10-23T12:05:15.544340
6,8,4,1,4,2025-10-23T12:05:17.626905
6,9,4,1,4,2025-10-23T12:05:20.035054
6,10,4,1,4,2025-10-23T12:05:22.568454
7,1,4,1,4,2025-10-23T12:05:24.849582
7,2,4,1,4,2025-10-23T12:05:27.222216
7,3,4,1,4,2025-10-23T12:05:29.353306
7,4,4,1,4,2025-10-23T12:05:31.652398
7,5,4,1,4,2025-10-23T12:05:33.904535
7,6,4,1,4,2025-10-23T12:05:36.594093
7,7,4,1,4,2025-10-23T12:05:39.323681
7,8,4,1,4,2025-10-23T12:05:43.271898
7,9,4,1,4,2025-10-23T12:05:45.694920
7,10,4,1,4,2025-10-23T12:05:47.767266
8,1,2,1,2,2025-10-23T12:05:49.884064
