question_id,run_index,rating,failures,response,collected_at
1,1,4,0,4,2025-10-24T13:33:55.598031
1,2,4,0,4,2025-10-24T13:33:57.295991
1,3,4,0,4,2025-10-24T13:33:57.932009
1,4,4,0,4,2025-10-24T13:33:59.029159
1,5,4,0,4,2025-10-24T13:33:59.635431
1,6,4,0,4,2025-10-24T13:34:01.162287
1,7,4,0,4,2025-10-24T13:34:01.726219
1,8,4,0,4,2025-10-24T13:34:03.701937
1,9,4,0,4,2025-10-24T13:34:05.297815
1,10,4,0,4,2025-10-24T13:34:06.949284
2,1,4,0,4,2025-10-24T13:34:08.989107
2,2,4,0,4,2025-10-24T13:34:09.871175
2,3,4,0,4,2025-10-24T13:34:10.566653
2,4,4,0,4,2025-10-24T13:34:11.164832
2,5,4,0,4,2025-10-24T13:34:11.904809
2,6,4,0,4,2025-10-24T13:34:12.521064
2,7,4,0,4,2025-10-24T13:34:13.137169
2,8,4,0,4,2025-10-24T13:34:13.772273
2,9,4,0,4,2025-10-24T13:34:14.426700
2,10,4,0,4,2025-10-24T13:34:14.930756
3,1,4,0,4,2025-10-24T13:34:15.826526
3,2,4,0,4,2025-10-24T13:34:16.295659
3,3,4,0,4,2025-10-24T13:34:16.797276
3,4,4,0,4,2025-10-24T13:34:17.407308
3,5,4,0,4,2025-10-24T13:34:17.900327
3,6,4,0,4,2025-10-24T13:34:18.369306
3,7,4,0,4,2025-10-24T13:34:18.760269
3,8,4,0,4,2025-10-24T13:34:19.399290
3,9,4,0,4,2025-10-24T13:34:20.377169
3,10,3,0,3,2025-10-24T13:34:20.870358
4,1,3,0,3,2025-10-24T13:34:21.473554
4,2,3,0,3,2025-10-24T13:34:22.137277
4,3,3,0,3,2025-10-24T13:34:23.158373
4,4,3,0,3,2025-10-24T13:34:23.651004
4,5,3,0,3,2025-10-24T13:34:24.459765
4,6,3,0,3,2025-10-24T13:34:25.195338
4,7,3,0,3,2025-10-24T13:34:25.751233
4,8,3,0,3,2025-10-24T13:34:26.293425
4,9,3,0,3,2025-10-24T13:34:27.519250
4,10,2,0,2,2025-10-24T13:34:27.909603
5,1,4,0,4,2025-10-24T13:34:28.503670
5,2,4,0,4,2025-10-24T13:34:29.278873
5,3,4,0,4,2025-10-24T13:34:29.856735
5,4,4,0,4,2025-10-24T13:34:30.541387
5,5,4,0,4,2025-10-24T13:34:30.966512
5,6,4,0,4,2025-10-24T13:34:31.444419
5,7,4,0,4,2025-10-24T13:34:32.198459
5,8,4,0,4,2025-10-24T13:34:32.801849
5,9,4,0,4,2025-10-24T13:34:33.264320
5,10,4,0,4,2025-10-24T13:34:33.949007
6,1,4,0,4,2025-10-24T13:34:35.093732
6,2,4,0,4,2025-10-24T13:34:35.997864
6,3,4,0,4,2025-10-24T13:34:37.647807
6,4,4,0,4,2025-10-24T13:34:38.222130
6,5,4,0,4,2025-10-24T13:34:38.614853
6,6,4,0,4,2025-10-24T13:34:39.529666
6,7,4,0,4,2025-10-24T13:34:40.201772
6,8,4,0,4,2025-10-24T13:34:40.948462
6,9,4,0,4,2025-10-24T13:34:41.556973
6,10,4,0,4,2025-10-24T13:34:42.353131
7,1,4,0,4,2025-10-24T13:34:42.924882
7,2,4,0,4,2025-10-24T13:34:44.007309
7,3,4,0,4,2025-10-24T13:34:44.613729
7,4,4,0,4,2025-10-24T13:34:45.454757
7,5,4,0,4,2025-10-24T13:34:46.022152
7,6,4,0,4,2025-10-24T13:34:47.056318
7,7,4,0,4,2025-10-24T13:34:47.852599
7,8,4,0,4,2025-10-24T13:34:48.555117
7,9,4,0,4,2025-10-24T13:34:49.685842
7,10,4,0,4,2025-10-24T13:34:50.420408
8,1,4,0,4,2025-10-24T13:34:51.087019
8,2,4,0,4,2025-10-24T13:34:51.829338
8,3,4,0,4,2025-10-24T13:34:52.387460
8,4,4,0,4,2025-10-24T13:34:52.890241
8,5,4,0,4,2025-10-24T13:34:53.411642
8,6,4,0,4,2025-10-24T13:34:53.940094
8,7,4,0,4,2025-10-24T13:34:55.528952
8,8,4,0,4,2025-10-24T13:34:56.104373
8,9,4,0,4,2025-10-24T13:34:57.077858
8,10,4,0,4,2025-10-24T13:34:57.766168
9,1,2,0,2,2025-10-24T13:34:58.283787
9,2,3,0,3,2025-10-24T13:34:58.882954
9,3,3,0,3,2025-10-24T13:34:59.614959
9,4,3,0,3,2025-10-24T13:35:00.273392
9,5,2,0,2,2025-10-24T13:35:00.785011
9,6,3,0,3,2025-10-24T13:35:01.356408
9,7,3,0,3,2025-10-24T13:35:02.080629
9,8,2,0,2,2025-10-24T13:35:02.678606
9,9,3,0,3,2025-10-24T13:35:03.307580
9,10,3,0,3,2025-10-24T13:35:04.137111
10,1,3,0,3,2025-10-24T13:35:08.269138
10,2,4,0,4,2025-10-24T13:35:08.814303
10,3,3,0,3,2025-10-24T13:35:09.721059
10,4,3,0,3,2025-10-24T13:35:10.490854
10,5,3,0,3,2025-10-24T13:35:11.180222
10,6,3,0,3,2025-10-24T13:35:11.808709
10,7,3,0,3,2025-10-24T13:35:12.294922
10,8,3,0,3,2025-10-24T13:35:12.940154
10,9,3,0,3,2025-10-24T13:35:15.333648
10,10,3,0,3,2025-10-24T13:35:15.888289
11,1,4,0,4,2025-10-24T13:35:16.708706
11,2,4,0,4,2025-10-24T13:35:17.206700
11,3,4,0,4,2025-10-24T13:35:17.869532
11,4,4,0,4,2025-10-24T13:35:18.776095
11,5,4,0,4,2025-10-24T13:35:19.460018
11,6,4,0,4,2025-10-24T13:35:20.134582
11,7,4,0,4,2025-10-24T13:35:21.391683
11,8,4,0,4,2025-10-24T13:35:22.258466
11,9,4,0,4,2025-10-24T13:35:23.011186
11,10,4,0,4,2025-10-24T13:35:23.486483
12,1,4,0,4,2025-10-24T13:35:24.099214
12,2,4,0,4,2025-10-24T13:35:24.665786
12,3,4,0,4,2025-10-24T13:35:25.343765
12,4,4,0,4,2025-10-24T13:35:26.077992
12,5,4,0,4,2025-10-24T13:35:26.659442
12,6,4,0,4,2025-10-24T13:35:27.253962
12,7,4,0,4,2025-10-24T13:35:27.792076
12,8,4,0,4,2025-10-24T13:35:28.473259
12,9,4,0,4,2025-10-24T13:35:29.314861
12,10,4,0,4,2025-10-24T13:35:30.023550
13,1,3,0,3,2025-10-24T13:35:30.590960
13,2,3,0,3,2025-10-24T13:35:31.220194
13,3,3,0,3,2025-10-24T13:35:31.811134
13,4,3,0,3,2025-10-24T13:35:32.505864
13,5,3,0,3,2025-10-24T13:35:33.018602
13,6,3,0,3,2025-10-24T13:35:33.619898
13,7,3,0,3,2025-10-24T13:35:34.257881
13,8,3,0,3,2025-10-24T13:35:34.774462
13,9,3,0,3,2025-10-24T13:35:35.798462
13,10,3,0,3,2025-10-24T13:35:36.473185
14,1,4,0,4,2025-10-24T13:35:37.013744
14,2,4,0,4,2025-10-24T13:35:37.597673
14,3,4,0,4,2025-10-24T13:35:38.117965
14,4,4,0,4,2025-10-24T13:35:38.682639
14,5,4,0,4,2025-10-24T13:35:39.317759
14,6,4,0,4,2025-10-24T13:35:39.699861
14,7,4,0,4,2025-10-24T13:35:40.180613
14,8,4,0,4,2025-10-24T13:35:40.783728
14,9,4,0,4,2025-10-24T13:35:41.425982
14,10,4,0,4,2025-10-24T13:35:41.999156
15,1,4,0,4,2025-10-24T13:35:42.563078
15,2,4,0,4,2025-10-24T13:35:43.117444
15,3,4,0,4,2025-10-24T13:35:43.693589
15,4,4,0,4,2025-10-24T13:35:44.272408
15,5,4,0,4,2025-10-24T13:35:45.131199
15,6,4,0,4,2025-10-24T13:35:45.877562
15,7,4,0,4,2025-10-24T13:35:46.407530
15,8,4,0,4,2025-10-24T13:35:46.968134
15,9,4,0,4,2025-10-24T13:35:47.699837
15,10,4,0,4,2025-10-24T13:35:48.235733
