question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5 - extremely relevant.,2025-10-21T13:07:40.770713
1,2,5,0,5 - extremely relevant.,2025-10-21T13:07:42.722575
1,3,5,0,5 - extremely relevant.,2025-10-21T13:07:43.400780
1,4,5,0,5 - extremely relevant.,2025-10-21T13:07:45.009108
1,5,5,0,5 - extremely relevant.,2025-10-21T13:07:49.771627
1,6,5,0,5 - extremely relevant.,2025-10-21T13:07:53.018197
1,7,5,0,5 - extremely relevant.,2025-10-21T13:07:54.527529
1,8,5,0,5 - extremely relevant.,2025-10-21T13:07:56.912464
1,9,5,0,5 - extremely relevant.,2025-10-21T13:07:58.021654
1,10,5,0,5 - extremely relevant.,2025-10-21T13:07:58.886051
2,1,4,0,4 - very relevant.,2025-10-21T13:08:00.765535
2,2,4,0,4 - very relevant.,2025-10-21T13:08:02.012664
2,3,5,0,5 - extremely relevant.,2025-10-21T13:08:03.023957
2,4,4,0,4 - very relevant.,2025-10-21T13:08:06.193336
2,5,5,0,5 - extremely relevant.,2025-10-21T13:08:13.668326
2,6,4,0,4 - very relevant.,2025-10-21T13:08:14.459508
2,7,5,0,5 - extremely relevant.,2025-10-21T13:08:15.329045
2,8,4,0,4 - very relevant.,2025-10-21T13:08:16.020848
2,9,5,0,5 - extremely relevant.,2025-10-21T13:08:16.594029
2,10,4,0,4 - very relevant.,2025-10-21T13:08:17.221130
3,1,3,0,3 - somewhat relevant.,2025-10-21T13:08:17.979302
3,2,3,0,"3

The consideration of",2025-10-21T13:08:18.743625
3,3,3,0,3 - somewhat relevant.,2025-10-21T13:08:19.274440
3,4,3,0,"3

The consideration of",2025-10-21T13:08:19.975470
3,5,3,0,3 - somewhat relevant.,2025-10-21T13:08:21.374073
3,6,3,0,"3

The consideration of",2025-10-21T13:08:22.140186
3,7,3,0,"3

The consideration of",2025-10-21T13:08:23.030919
3,8,3,0,3 - somewhat relevant.,2025-10-21T13:08:23.647413
3,9,3,0,3 - somewhat relevant.,2025-10-21T13:08:24.178798
3,10,3,0,"3

The consideration of",2025-10-21T13:08:24.742881
4,1,2,0,2 - slightly relevant.,2025-10-21T13:08:25.391993
4,2,2,0,2 - slightly relevant.,2025-10-21T13:08:26.123620
4,3,2,0,2 - slightly relevant.,2025-10-21T13:08:26.852639
4,4,2,0,2 - slightly relevant.,2025-10-21T13:08:28.329700
4,5,2,0,2 - slightly relevant.,2025-10-21T13:08:29.101977
4,6,2,0,2 - slightly relevant.,2025-10-21T13:08:29.779064
4,7,3,0,3 - somewhat relevant.,2025-10-21T13:08:30.454303
4,8,2,0,2 - slightly relevant.,2025-10-21T13:08:31.245897
4,9,2,0,2 - slightly relevant.,2025-10-21T13:08:31.826065
4,10,2,0,2 - slightly relevant.,2025-10-21T13:08:34.833937
5,1,3,0,3 - somewhat relevant.,2025-10-21T13:08:35.468253
5,2,3,0,3 - somewhat relevant.,2025-10-21T13:08:36.967256
5,3,3,0,3 - somewhat relevant.,2025-10-21T13:08:37.560381
5,4,3,0,3 - somewhat relevant.,2025-10-21T13:08:38.675899
5,5,3,0,3 - somewhat relevant.,2025-10-21T13:08:39.275756
5,6,3,0,3 - somewhat relevant.,2025-10-21T13:08:42.063528
5,7,3,0,3 - somewhat relevant.,2025-10-21T13:08:42.684174
