question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5. Emotional,2025-11-04T17:43:26.457051
1,2,5,0,5. Emotional,2025-11-04T17:43:27.988114
1,3,4,0,4. Emotional,2025-11-04T17:43:29.209068
1,4,5,0,5 — Emotional,2025-11-04T17:43:31.122081
1,5,5,0,"5
Em",2025-11-04T17:43:32.884691
1,6,5,0,5 — Emotional,2025-11-04T17:43:34.311221
1,7,5,0,5. Emotional,2025-11-04T17:43:35.998556
1,8,5,0,5 — Emotional,2025-11-04T17:43:37.803816
1,9,5,0,5 — Emotional,2025-11-04T17:43:39.160253
1,10,5,0,5 — Emotional,2025-11-04T17:43:40.661000
2,1,5,0,5 — Differential,2025-11-04T17:43:42.188992
2,2,4,0,4 — Whether,2025-11-04T17:43:43.520660
2,3,4,0,4. Whether,2025-11-04T17:43:45.138149
2,4,4,0,4. Whether,2025-11-04T17:43:46.619208
2,5,4,0,4 — Whether,2025-11-04T17:43:48.099532
2,6,5,0,"5, because",2025-11-04T17:43:51.951500
2,7,4,0,4 — Differential,2025-11-04T17:43:53.595834
2,8,5,0,5. Differential,2025-11-04T17:43:55.196073
2,9,4,0,"4
Whether",2025-11-04T17:43:57.178744
2,10,5,0,5. Whether,2025-11-04T17:43:59.151694
3,1,1,0,"1, because",2025-11-04T17:44:01.748709
3,2,1,0,"1, because",2025-11-04T17:44:03.013439
3,3,1,0,"1, because",2025-11-04T17:44:04.714688
3,4,1,0,1. As,2025-11-04T17:44:08.301320
3,5,1,0,1: As,2025-11-04T17:44:09.632127
3,6,1,0,1 — As,2025-11-04T17:44:11.002170
3,7,1,0,"1, because",2025-11-04T17:44:12.193584
3,8,1,0,"1
As",2025-11-04T17:44:13.301391
3,9,1,0,1. As,2025-11-04T17:44:14.893100
3,10,1,0,"1, because",2025-11-04T17:44:17.408650
4,1,1,0,"1
Respect",2025-11-04T17:44:18.907017
4,2,1,0,"1
Respect",2025-11-04T17:44:20.488845
4,3,1,0,1. As,2025-11-04T17:44:23.165502
4,4,2,0,"2
Respect",2025-11-04T17:44:24.635214
4,5,1,0,1. As,2025-11-04T17:44:25.770398
4,6,1,0,1. Respect,2025-11-04T17:44:29.191378
4,7,1,0,1. Respect,2025-11-04T17:44:30.597893
4,8,1,0,1. Respect,2025-11-04T17:44:33.112929
4,9,1,0,1. Respect,2025-11-04T17:44:35.742769
4,10,1,0,1. As,2025-11-04T17:44:37.293859
5,1,1,0,"1, not",2025-11-04T17:44:41.326799
5,2,1,0,"1, because",2025-11-04T17:44:45.539075
5,3,1,0,"1, because",2025-11-04T17:44:47.089168
5,4,1,0,"1, not",2025-11-04T17:44:48.725020
5,5,2,0,"2
As",2025-11-04T17:44:50.881502
5,6,1,0,"1, because",2025-11-04T17:44:52.332703
5,7,2,0,"2, slightly",2025-11-04T17:44:54.809587
5,8,1,0,1 – As,2025-11-04T17:44:58.733588
5,9,1,0,"1, because",2025-11-04T17:45:00.031982
5,10,1,0,"1, not",2025-11-04T17:45:01.567864
6,1,4,0,4. Caring,2025-11-04T17:45:02.799226
6,2,4,0,4. Caring,2025-11-04T17:45:05.759893
6,3,4,0,4. Caring,2025-11-04T17:45:07.211285
6,4,4,0,"4
C",2025-11-04T17:45:08.235492
