question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2025-10-23T11:47:47.413076
1,2,5,0,5,2025-10-23T11:47:49.288116
1,3,5,0,5,2025-10-23T11:47:52.032374
1,4,5,0,5,2025-10-23T11:47:53.756475
1,5,5,0,5,2025-10-23T11:47:55.431044
1,6,5,0,5,2025-10-23T11:47:56.966236
1,7,5,0,5,2025-10-23T11:47:58.421595
1,8,5,0,5,2025-10-23T11:48:00.353344
1,9,5,0,5,2025-10-23T11:48:02.181224
1,10,5,0,5,2025-10-23T11:48:04.767036
2,1,5,0,5,2025-10-23T11:48:06.228485
2,2,5,0,5,2025-10-23T11:48:08.080850
2,3,5,0,5,2025-10-23T11:48:09.596725
2,4,5,0,5,2025-10-23T11:48:11.422481
2,5,5,0,5,2025-10-23T11:48:14.450429
2,6,5,0,5,2025-10-23T11:48:16.083634
2,7,5,0,5,2025-10-23T11:48:17.694070
2,8,5,0,5,2025-10-23T11:48:19.266909
2,9,5,0,5,2025-10-23T11:48:20.966174
2,10,5,0,5,2025-10-23T11:48:23.301149
3,1,2,0,2,2025-10-23T11:48:25.373051
3,2,1,0,1,2025-10-23T11:48:27.592958
3,3,2,0,2,2025-10-23T11:48:29.458148
3,4,1,0,1,2025-10-23T11:48:31.608793
3,5,1,0,1,2025-10-23T11:48:33.255671
3,6,1,0,1,2025-10-23T11:48:35.046128
3,7,1,0,1,2025-10-23T11:48:36.911713
3,8,2,0,2,2025-10-23T11:48:38.274269
3,9,2,0,2,2025-10-23T11:48:40.208061
3,10,2,0,2,2025-10-23T11:48:42.432510
4,1,1,0,1,2025-10-23T11:48:44.417714
4,2,1,0,1,2025-10-23T11:48:47.329511
4,3,1,0,1,2025-10-23T11:48:49.137872
4,4,1,0,1,2025-10-23T11:48:50.972788
4,5,1,0,1,2025-10-23T11:48:53.909512
4,6,2,0,2,2025-10-23T11:48:56.658578
4,7,1,0,1,2025-10-23T11:48:59.389146
4,8,1,0,1,2025-10-23T11:49:01.647319
4,9,1,0,1,2025-10-23T11:49:03.157806
4,10,1,0,1,2025-10-23T11:49:04.872465
5,1,3,0,3,2025-10-23T11:49:07.424930
5,2,1,0,1,2025-10-23T11:49:09.612490
5,3,1,0,1,2025-10-23T11:49:11.405456
5,4,1,0,1,2025-10-23T11:49:14.384989
5,5,2,0,2,2025-10-23T11:49:17.322646
5,6,2,0,2,2025-10-23T11:49:19.096328
5,7,1,0,1,2025-10-23T11:49:21.071785
5,8,2,0,2,2025-10-23T11:49:23.089685
5,9,2,0,2,2025-10-23T11:49:25.427835
5,10,2,0,2,2025-10-23T11:49:29.834193
6,1,5,0,5,2025-10-23T11:49:31.037677
6,2,5,0,5,2025-10-23T11:49:33.419027
6,3,5,0,5,2025-10-23T11:49:34.842120
6,4,5,0,5,2025-10-23T11:49:36.482934
6,5,5,0,5,2025-10-23T11:49:38.042603
6,6,5,0,5,2025-10-23T11:49:40.021074
6,7,5,0,5,2025-10-23T11:49:41.466753
6,8,5,0,5,2025-10-23T11:49:42.935881
6,9,5,0,5,2025-10-23T11:49:44.963041
6,10,5,0,5,2025-10-23T11:49:46.588767
7,1,5,0,5,2025-10-23T11:49:48.810215
7,2,5,0,5,2025-10-23T11:49:51.197394
7,3,5,0,5,2025-10-23T11:49:52.336391
7,4,5,0,5,2025-10-23T11:49:53.486175
7,5,5,0,5,2025-10-23T11:49:55.136209
7,6,5,0,5,2025-10-23T11:49:56.257769
7,7,5,0,5,2025-10-23T11:49:57.354347
7,8,5,0,5,2025-10-23T11:49:59.463401
7,9,5,0,5,2025-10-23T11:50:01.324555
7,10,5,0,5,2025-10-23T11:50:02.878773
8,1,3,0,3,2025-10-23T11:50:06.762180
8,2,3,0,3,2025-10-23T11:50:09.059788
8,3,3,0,3,2025-10-23T11:50:12.079985
8,4,3,0,3,2025-10-23T11:50:14.339999
8,5,3,0,3,2025-10-23T11:50:17.633561
8,6,2,0,2,2025-10-23T11:50:20.695081
8,7,2,0,2,2025-10-23T11:50:23.733095
8,8,3,0,3,2025-10-23T11:50:25.900474
8,9,3,0,3,2025-10-23T11:50:28.090915
8,10,3,0,3,2025-10-23T11:50:29.991243
9,1,1,0,1,2025-10-23T11:50:31.970354
9,2,1,0,1,2025-10-23T11:50:33.953649
9,3,1,0,1,2025-10-23T11:50:35.912063
9,4,1,0,1,2025-10-23T11:50:39.831691
9,5,1,0,1,2025-10-23T11:50:42.112366
9,6,2,0,2,2025-10-23T11:50:44.097632
9,7,1,0,1,2025-10-23T11:50:45.722060
9,8,1,0,1,2025-10-23T11:50:47.741796
9,9,1,0,1,2025-10-23T11:50:49.797908
9,10,2,0,2,2025-10-23T11:50:51.610737
10,1,2,0,2,2025-10-23T11:50:54.199539
10,2,2,0,2,2025-10-23T11:50:56.312765
10,3,3,0,3,2025-10-23T11:51:00.364179
10,4,2,0,2,2025-10-23T11:51:01.916966
10,5,2,0,2,2025-10-23T11:51:03.396235
10,6,2,0,2,2025-10-23T11:51:05.532760
10,7,2,0,2,2025-10-23T11:51:08.044730
10,8,3,0,3,2025-10-23T11:51:11.638061
10,9,2,0,2,2025-10-23T11:51:13.586707
10,10,1,0,1,2025-10-23T11:51:16.299440
11,1,5,0,5,2025-10-23T11:51:18.153736
11,2,5,0,5,2025-10-23T11:51:20.150355
11,3,5,0,5,2025-10-23T11:51:21.822930
11,4,5,0,5,2025-10-23T11:51:23.582541
11,5,5,0,5,2025-10-23T11:51:25.248040
11,6,5,0,5,2025-10-23T11:51:26.480368
11,7,5,0,5,2025-10-23T11:51:28.286479
11,8,5,0,5,2025-10-23T11:51:30.666504
11,9,5,0,5,2025-10-23T11:51:32.455929
11,10,5,0,5,2025-10-23T11:51:33.621423
12,1,5,0,5,2025-10-23T11:51:35.450917
12,2,5,0,5,2025-10-23T11:51:36.681061
12,3,5,0,5,2025-10-23T11:51:38.820696
12,4,5,0,5,2025-10-23T11:51:40.375132
12,5,5,0,5,2025-10-23T11:51:42.123713
12,6,5,0,5,2025-10-23T11:51:43.886618
12,7,5,0,5,2025-10-23T11:51:45.618851
12,8,5,0,5,2025-10-23T11:51:46.887271
12,9,5,0,5,2025-10-23T11:51:48.325179
12,10,5,0,5,2025-10-23T11:51:49.636830
13,1,3,0,3,2025-10-23T11:51:52.757046
13,2,3,0,3,2025-10-23T11:51:54.735149
13,3,4,0,4,2025-10-23T11:51:56.633072
13,4,3,0,3,2025-10-23T11:51:58.094082
13,5,3,0,3,2025-10-23T11:52:00.159437
13,6,3,0,3,2025-10-23T11:52:02.357201
13,7,3,0,3,2025-10-23T11:52:05.650174
13,8,3,0,3,2025-10-23T11:52:08.195849
13,9,3,0,3,2025-10-23T11:52:10.005940
13,10,3,0,3,2025-10-23T11:52:12.113671
14,1,3,0,3,2025-10-23T11:52:14.439444
14,2,3,0,3,2025-10-23T11:52:16.975547
14,3,3,0,3,2025-10-23T11:52:20.079718
14,4,3,0,3,2025-10-23T11:52:25.642380
14,5,4,0,4,2025-10-23T11:52:27.438611
14,6,4,0,4,2025-10-23T11:52:29.641388
14,7,3,0,3,2025-10-23T11:52:32.200234
14,8,3,0,3,2025-10-23T11:52:34.692430
14,9,3,0,3,2025-10-23T11:52:36.868195
14,10,3,0,3,2025-10-23T11:52:38.883660
15,1,0,0,0,2025-10-23T11:52:40.369029
15,2,0,0,0,2025-10-23T11:52:41.807443
15,3,0,0,0,2025-10-23T11:52:43.186009
15,4,0,0,0,2025-10-23T11:52:44.947199
15,5,0,0,0,2025-10-23T11:52:46.366121
15,6,0,0,0,2025-10-23T11:52:48.014824
15,7,0,0,0,2025-10-23T11:52:50.213866
15,8,0,0,0,2025-10-23T11:52:53.421141
15,9,0,0,0,2025-10-23T11:52:56.107357
15,10,0,0,0,2025-10-23T11:52:57.481115
16,1,4,0,4,2025-10-23T11:52:59.363307
16,2,4,0,4,2025-10-23T11:53:01.158209
16,3,4,0,4,2025-10-23T11:53:03.044347
16,4,4,0,4,2025-10-23T11:53:04.481268
16,5,4,0,4,2025-10-23T11:53:06.471647
16,6,5,0,5,2025-10-23T11:53:10.008664
