question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2025-10-27T12:16:34.952614
1,2,5,0,5,2025-10-27T12:16:45.728252
1,3,5,0,5,2025-10-27T12:16:56.802564
1,4,4,0,4,2025-10-27T12:17:06.457438
1,5,5,0,5,2025-10-27T12:17:19.204702
1,6,5,0,5,2025-10-27T12:17:31.106114
1,7,4,0,4,2025-10-27T12:17:43.966199
1,8,4,0,4,2025-10-27T12:17:56.114288
1,9,5,0,5,2025-10-27T12:18:06.724488
1,10,5,0,5,2025-10-27T12:18:15.594380
2,1,4,0,4,2025-10-27T12:18:28.837506
2,2,4,0,4,2025-10-27T12:18:41.349981
2,3,4,0,4,2025-10-27T12:18:53.257901
2,4,4,0,4,2025-10-27T12:19:02.669948
2,5,4,0,4,2025-10-27T12:19:12.669983
2,6,4,0,4,2025-10-27T12:19:24.612455
2,7,4,0,4,2025-10-27T12:19:35.096598
2,8,4,0,4,2025-10-27T12:19:47.997959
2,9,4,0,4,2025-10-27T12:19:58.236457
2,10,5,0,5,2025-10-27T12:20:10.074620
3,1,2,0,2,2025-10-27T12:20:21.077565
3,2,2,0,2,2025-10-27T12:20:29.211788
3,3,1,0,1,2025-10-27T12:20:41.939660
3,4,2,0,2,2025-10-27T12:20:51.220708
3,5,2,0,2,2025-10-27T12:20:59.151784
3,6,2,0,2,2025-10-27T12:21:05.921198
3,7,2,0,2,2025-10-27T12:21:13.714293
3,8,2,0,2,2025-10-27T12:21:21.379443
3,9,1,0,1,2025-10-27T12:21:33.571885
3,10,2,0,2,2025-10-27T12:21:45.331505
4,1,2,0,2,2025-10-27T12:21:55.415301
4,2,2,0,2,2025-10-27T12:22:05.474572
4,3,2,0,2,2025-10-27T12:22:20.057218
4,4,1,0,1,2025-10-27T12:22:35.591466
4,5,2,0,2,2025-10-27T12:22:45.557614
4,6,2,0,2,2025-10-27T12:22:57.510572
4,7,2,0,2,2025-10-27T12:23:09.429901
4,8,2,0,2,2025-10-27T12:23:25.177258
4,9,1,0,1,2025-10-27T12:23:38.964542
4,10,2,0,2,2025-10-27T12:23:53.037699
5,1,1,0,1,2025-10-27T12:24:12.273926
5,2,1,0,1,2025-10-27T12:24:23.494213
5,3,2,0,2,2025-10-27T12:24:41.470137
5,4,2,0,2,2025-10-27T12:25:00.236736
5,5,1,0,1,2025-10-27T12:25:20.793065
5,6,1,0,1,2025-10-27T12:25:40.504405
5,7,2,0,2,2025-10-27T12:25:56.997446
5,8,1,0,1,2025-10-27T12:26:16.662817
5,9,1,0,1,2025-10-27T12:26:31.857392
5,10,1,0,1,2025-10-27T12:26:47.402195
6,1,5,0,5,2025-10-27T12:26:59.169600
6,2,4,0,4,2025-10-27T12:27:12.202880
6,3,4,0,4,2025-10-27T12:27:28.576483
