persona_id,question_id,run_index,rating,failures,response,collected_at
99,1,1,4,0,4,2026-03-31T12:44:31.003260
99,1,2,4,0,4,2026-03-31T12:44:31.711167
99,1,3,5,0,5,2026-03-31T12:44:32.290554
99,1,4,5,0,5,2026-03-31T12:44:32.913384
99,1,5,5,0,5,2026-03-31T12:44:33.458477
99,1,6,5,0,5,2026-03-31T12:44:34.023052
99,1,7,5,0,5,2026-03-31T12:44:34.668202
99,1,8,5,0,5,2026-03-31T12:44:35.324292
99,1,9,5,0,5,2026-03-31T12:44:35.907731
99,1,10,4,0,4,2026-03-31T12:44:36.420216
99,1,11,5,0,5,2026-03-31T12:44:36.995134
99,1,12,5,0,5,2026-03-31T12:44:37.488475
99,1,13,4,0,4,2026-03-31T12:44:38.011658
99,1,14,4,0,4,2026-03-31T12:44:38.690317
99,1,15,5,0,5,2026-03-31T12:44:41.974768
99,1,16,5,0,5,2026-03-31T12:44:42.734162
99,1,17,4,0,4,2026-03-31T12:44:43.276942
99,1,18,5,0,5,2026-03-31T12:44:43.768793
99,1,19,5,0,5,2026-03-31T12:44:44.312655
99,1,20,5,0,5,2026-03-31T12:44:44.844454
99,1,21,5,0,5,2026-03-31T12:44:45.469019
99,1,22,5,0,5,2026-03-31T12:44:45.979340
99,1,23,5,0,5,2026-03-31T12:44:48.693236
99,1,24,5,0,5,2026-03-31T12:44:49.337628
99,1,25,4,0,4,2026-03-31T12:44:49.976212
99,1,26,5,0,5,2026-03-31T12:44:50.671699
99,1,27,5,0,5,2026-03-31T12:44:51.256182
99,1,28,5,0,5,2026-03-31T12:44:51.923510
99,1,29,4,0,4,2026-03-31T12:44:52.501752
99,1,30,5,0,5,2026-03-31T12:44:53.094437
99,1,31,5,0,5,2026-03-31T12:44:53.563650
99,1,32,4,0,4,2026-03-31T12:44:54.345319
99,1,33,4,0,4,2026-03-31T12:44:54.969126
99,1,34,5,0,5,2026-03-31T12:44:55.523379
99,1,35,5,0,5,2026-03-31T12:44:56.178288
99,1,36,4,0,4,2026-03-31T12:44:56.898220
99,1,37,4,0,4,2026-03-31T12:45:05.112206
99,1,38,4,0,4,2026-03-31T12:45:05.667525
99,1,39,4,0,4,2026-03-31T12:45:06.478849
99,1,40,4,0,4,2026-03-31T12:45:07.051272
99,1,41,5,0,5,2026-03-31T12:45:07.746977
99,1,42,5,0,5,2026-03-31T12:45:08.254992
99,1,43,5,0,5,2026-03-31T12:45:08.993089
99,1,44,4,0,4,2026-03-31T12:45:09.512516
99,1,45,4,0,4,2026-03-31T12:45:10.500822
99,1,46,5,0,5,2026-03-31T12:45:11.126939
99,1,47,4,0,4,2026-03-31T12:45:11.814512
99,1,48,5,0,5,2026-03-31T12:45:13.074243
99,1,49,5,0,5,2026-03-31T12:45:13.709693
99,1,50,4,0,4,2026-03-31T12:45:14.339403
99,2,1,5,0,5,2026-03-31T12:45:14.915653
99,2,2,5,0,5,2026-03-31T12:45:15.434625
99,2,3,5,0,5,2026-03-31T12:45:15.994338
99,2,4,5,0,5,2026-03-31T12:45:16.626705
99,2,5,5,0,5,2026-03-31T12:45:17.207570
99,2,6,5,0,5,2026-03-31T12:45:17.703389
99,2,7,5,0,5,2026-03-31T12:45:18.212903
99,2,8,5,0,5,2026-03-31T12:45:18.814868
99,2,9,5,0,5,2026-03-31T12:45:19.398521
99,2,10,5,0,5,2026-03-31T12:45:19.889624
99,2,11,5,0,5,2026-03-31T12:45:20.451156
99,2,12,5,0,5,2026-03-31T12:45:21.134118
99,2,13,5,0,5,2026-03-31T12:45:21.918207
99,2,14,5,0,5,2026-03-31T12:45:22.556173
99,2,15,5,0,5,2026-03-31T12:45:23.159303
99,2,16,5,0,5,2026-03-31T12:45:23.667453
99,2,17,5,0,5,2026-03-31T12:45:24.226668
99,2,18,5,0,5,2026-03-31T12:45:24.857454
99,2,19,5,0,5,2026-03-31T12:45:26.383946
99,2,20,5,0,5,2026-03-31T12:45:27.034515
99,2,21,5,0,5,2026-03-31T12:45:27.684484
99,2,22,5,0,5,2026-03-31T12:45:28.329682
99,2,23,5,0,5,2026-03-31T12:45:28.735664
99,2,24,5,0,5,2026-03-31T12:45:29.332877
99,2,25,5,0,5,2026-03-31T12:45:32.680883
99,2,26,5,0,5,2026-03-31T12:45:33.348572
99,2,27,5,0,5,2026-03-31T12:45:33.872421
99,2,28,5,0,5,2026-03-31T12:45:34.514591
99,2,29,5,0,5,2026-03-31T12:45:36.089265
99,2,30,5,0,5,2026-03-31T12:45:36.706462
99,2,31,5,0,5,2026-03-31T12:45:37.213818
99,2,32,5,0,5,2026-03-31T12:45:37.779460
99,2,33,5,0,5,2026-03-31T12:45:38.330756
99,2,34,5,0,5,2026-03-31T12:45:39.024159
99,2,35,5,0,5,2026-03-31T12:45:39.569071
99,2,36,5,0,5,2026-03-31T12:45:44.388361
99,2,37,5,0,5,2026-03-31T12:45:44.885711
99,2,38,5,0,5,2026-03-31T12:45:45.380156
99,2,39,5,0,5,2026-03-31T12:45:46.033952
99,2,40,5,0,5,2026-03-31T12:45:46.716320
99,2,41,5,0,5,2026-03-31T12:45:47.283477
99,2,42,5,0,5,2026-03-31T12:45:48.009659
99,2,43,5,0,5,2026-03-31T12:45:48.559765
99,2,44,5,0,5,2026-03-31T12:45:49.043824
99,2,45,5,0,5,2026-03-31T12:45:49.632422
99,2,46,5,0,5,2026-03-31T12:45:50.313041
99,2,47,5,0,5,2026-03-31T12:45:50.986633
99,2,48,5,0,5,2026-03-31T12:45:51.503959
99,2,49,5,0,5,2026-03-31T12:45:51.990202
99,2,50,5,0,5,2026-03-31T12:45:52.652399
99,3,1,3,0,3,2026-03-31T12:45:53.293851
99,3,2,3,0,3,2026-03-31T12:45:53.859500
99,3,3,3,0,3,2026-03-31T12:45:54.400086
99,3,4,3,0,3,2026-03-31T12:45:55.040590
99,3,5,3,0,3,2026-03-31T12:45:55.697537
99,3,6,3,0,3,2026-03-31T12:45:56.129193
99,3,7,3,0,3,2026-03-31T12:45:56.629686
99,3,8,3,0,3,2026-03-31T12:45:57.333131
99,3,9,3,0,3,2026-03-31T12:45:57.776777
99,3,10,3,0,3,2026-03-31T12:45:58.361379
99,3,11,3,0,3,2026-03-31T12:45:59.022559
99,3,12,3,0,3,2026-03-31T12:45:59.686355
99,3,13,3,0,3,2026-03-31T12:46:00.280426
99,3,14,3,0,3,2026-03-31T12:46:00.872163
99,3,15,3,0,3,2026-03-31T12:46:01.418085
99,3,16,3,0,3,2026-03-31T12:46:01.968684
99,3,17,3,0,3,2026-03-31T12:46:02.568137
99,3,18,3,0,3,2026-03-31T12:46:03.173123
99,3,19,3,0,3,2026-03-31T12:46:03.712085
99,3,20,3,0,3,2026-03-31T12:46:04.367686
99,3,21,3,0,3,2026-03-31T12:46:04.938412
99,3,22,3,0,3,2026-03-31T12:46:05.597855
99,3,23,3,0,3,2026-03-31T12:46:06.296108
99,3,24,3,0,3,2026-03-31T12:46:06.966709
99,3,25,3,0,3,2026-03-31T12:46:07.587670
99,3,26,3,0,3,2026-03-31T12:46:08.236364
99,3,27,3,0,3,2026-03-31T12:46:08.783319
99,3,28,3,0,3,2026-03-31T12:46:09.452520
99,3,29,3,0,3,2026-03-31T12:46:10.119807
99,3,30,3,0,3,2026-03-31T12:46:10.725019
99,3,31,3,0,3,2026-03-31T12:46:11.179389
99,3,32,3,0,3,2026-03-31T12:46:11.593389
99,3,33,3,0,3,2026-03-31T12:46:12.213190
99,3,34,3,0,3,2026-03-31T12:46:12.788258
99,3,35,3,0,3,2026-03-31T12:46:13.556949
99,3,36,3,0,3,2026-03-31T12:46:14.160479
99,3,37,3,0,3,2026-03-31T12:46:14.752743
99,3,38,3,0,3,2026-03-31T12:46:15.494108
99,3,39,3,0,3,2026-03-31T12:46:16.099308
99,3,40,3,0,3,2026-03-31T12:46:16.680118
