persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,2,0,2,2026-07-15T08:49:49.443017
0,1,2,2,0,2,2026-07-15T08:49:50.017527
0,1,3,2,0,2,2026-07-15T08:49:50.666748
0,1,4,2,0,2,2026-07-15T08:49:51.150541
0,1,5,2,0,2,2026-07-15T08:49:51.702719
0,1,6,2,0,2,2026-07-15T08:49:52.289065
0,1,7,2,0,2,2026-07-15T08:49:52.834507
0,1,8,2,0,2,2026-07-15T08:49:53.303513
0,1,9,2,0,2,2026-07-15T08:49:53.882917
0,1,10,2,0,2,2026-07-15T08:49:54.416431
0,2,1,1,0,1,2026-07-15T08:49:55.044780
0,2,2,1,0,1,2026-07-15T08:49:56.949575
0,2,3,1,0,1,2026-07-15T08:49:57.436883
0,2,4,1,0,1,2026-07-15T08:49:57.938792
0,2,5,1,0,1,2026-07-15T08:49:58.505285
0,2,6,1,0,1,2026-07-15T08:49:58.998001
0,2,7,1,0,1,2026-07-15T08:50:00.195907
0,2,8,1,0,1,2026-07-15T08:50:03.913698
0,2,9,1,0,1,2026-07-15T08:50:04.565680
0,2,10,1,0,1,2026-07-15T08:50:05.074801
0,3,1,2,0,2,2026-07-15T08:50:05.615483
0,3,2,2,0,2,2026-07-15T08:50:06.231918
0,3,3,2,0,2,2026-07-15T08:50:06.854604
0,3,4,2,0,2,2026-07-15T08:50:07.427646
0,3,5,2,0,2,2026-07-15T08:50:07.939782
0,3,6,2,0,2,2026-07-15T08:50:08.528493
0,3,7,2,0,2,2026-07-15T08:50:09.158054
0,3,8,2,0,2,2026-07-15T08:50:09.700062
0,3,9,2,0,2,2026-07-15T08:50:10.416941
0,3,10,2,0,2,2026-07-15T08:50:11.045367
0,4,1,0,0,0,2026-07-15T08:50:11.966070
0,4,2,0,0,0,2026-07-15T08:50:12.497708
0,4,3,0,0,0,2026-07-15T08:50:13.062191
0,4,4,0,0,0,2026-07-15T08:50:13.628336
0,4,5,0,0,0,2026-07-15T08:50:14.635962
0,4,6,0,0,0,2026-07-15T08:50:15.196152
0,4,7,0,0,0,2026-07-15T08:50:15.635163
0,4,8,0,0,0,2026-07-15T08:50:16.336668
0,4,9,0,0,0,2026-07-15T08:50:16.854775
0,4,10,0,0,0,2026-07-15T08:50:19.572196
0,5,1,4,0,4,2026-07-15T08:50:20.011206
0,5,2,4,0,4,2026-07-15T08:50:20.537934
0,5,3,4,0,4,2026-07-15T08:50:21.028037
0,5,4,4,0,4,2026-07-15T08:50:21.580242
0,5,5,4,0,4,2026-07-15T08:50:22.037542
0,5,6,4,0,4,2026-07-15T08:50:22.591251
0,5,7,4,0,4,2026-07-15T08:50:23.197286
0,5,8,4,0,4,2026-07-15T08:50:24.052331
0,5,9,4,0,4,2026-07-15T08:50:24.609074
0,5,10,4,0,4,2026-07-15T08:50:25.047601
0,6,1,0,0,0,2026-07-15T08:50:25.517068
0,6,2,0,0,0,2026-07-15T08:50:26.234477
0,6,3,0,0,0,2026-07-15T08:50:26.745373
0,6,4,0,0,0,2026-07-15T08:50:27.177918
0,6,5,0,0,0,2026-07-15T08:50:27.675990
0,6,6,0,0,0,2026-07-15T08:50:28.129798
0,6,7,0,0,0,2026-07-15T08:50:28.872693
0,6,8,0,0,0,2026-07-15T08:50:29.446374
0,6,9,0,0,0,2026-07-15T08:50:30.105794
0,6,10,0,0,0,2026-07-15T08:50:30.613684
0,7,1,4,0,4,2026-07-15T08:50:31.050418
0,7,2,4,0,4,2026-07-15T08:50:31.548629
0,7,3,4,0,4,2026-07-15T08:50:38.355125
0,7,4,4,0,4,2026-07-15T08:50:38.853734
0,7,5,4,0,4,2026-07-15T08:50:39.341626
0,7,6,4,0,4,2026-07-15T08:50:39.817516
0,7,7,4,0,4,2026-07-15T08:50:40.351229
0,7,8,4,0,4,2026-07-15T08:50:41.010200
0,7,9,4,0,4,2026-07-15T08:50:41.614704
0,7,10,4,0,4,2026-07-15T08:50:42.142331
0,8,1,1,0,1,2026-07-15T08:50:42.649464
0,8,2,1,0,1,2026-07-15T08:50:43.450384
0,8,3,1,0,1,2026-07-15T08:50:43.899707
0,8,4,1,0,1,2026-07-15T08:50:44.425000
0,8,5,1,0,1,2026-07-15T08:50:44.919057
0,8,6,1,0,1,2026-07-15T08:50:46.048981
0,8,7,1,0,1,2026-07-15T08:50:46.502682
0,8,8,1,0,1,2026-07-15T08:50:47.133662
0,8,9,1,0,1,2026-07-15T08:50:47.655182
0,8,10,1,0,1,2026-07-15T08:50:48.293094
0,9,1,4,0,4,2026-07-15T08:50:49.109498
0,9,2,4,0,4,2026-07-15T08:50:49.584007
0,9,3,4,0,4,2026-07-15T08:50:50.145913
0,9,4,4,0,4,2026-07-15T08:50:50.808221
0,9,5,4,0,4,2026-07-15T08:50:51.399648
0,9,6,4,0,4,2026-07-15T08:50:51.874669
0,9,7,4,0,4,2026-07-15T08:50:52.322293
0,9,8,4,0,4,2026-07-15T08:50:52.871734
0,9,9,4,0,4,2026-07-15T08:50:53.336276
0,9,10,4,0,4,2026-07-15T08:50:58.425457
1,1,1,4,0,4,2026-07-15T08:50:58.855951
1,1,2,4,0,4,2026-07-15T08:50:59.472306
1,1,3,5,0,5,2026-07-15T08:50:59.914625
1,1,4,4,0,4,2026-07-15T08:51:00.327706
1,1,5,5,0,5,2026-07-15T08:51:00.760786
1,1,6,5,0,5,2026-07-15T08:51:01.215372
1,1,7,5,0,5,2026-07-15T08:51:01.802034
1,1,8,4,0,4,2026-07-15T08:51:02.272986
1,1,9,4,0,4,2026-07-15T08:51:02.951171
1,1,10,5,0,5,2026-07-15T08:51:03.391014
1,2,1,0,0,0,2026-07-15T08:51:04.118120
1,2,2,0,0,0,2026-07-15T08:51:04.741753
1,2,3,0,0,0,2026-07-15T08:51:05.198537
1,2,4,0,0,0,2026-07-15T08:51:05.684493
1,2,5,0,0,0,2026-07-15T08:51:06.248992
1,2,6,0,0,0,2026-07-15T08:51:06.818525
1,2,7,0,0,0,2026-07-15T08:51:07.308916
1,2,8,0,0,0,2026-07-15T08:51:08.152010
1,2,9,0,0,0,2026-07-15T08:51:08.718319
1,2,10,0,0,0,2026-07-15T08:51:09.289284
1,3,1,4,0,4,2026-07-15T08:51:12.251085
1,3,2,4,0,4,2026-07-15T08:51:12.681141
1,3,3,4,0,4,2026-07-15T08:51:13.156374
1,3,4,4,0,4,2026-07-15T08:51:13.786741
1,3,5,4,0,4,2026-07-15T08:51:14.225755
1,3,6,4,0,4,2026-07-15T08:51:14.705069
1,3,7,4,0,4,2026-07-15T08:51:15.183213
1,3,8,4,0,4,2026-07-15T08:51:15.711941
1,3,9,4,0,4,2026-07-15T08:51:16.156090
1,3,10,4,0,4,2026-07-15T08:51:16.701597
1,4,1,0,0,0,2026-07-15T08:51:17.286537
1,4,2,0,0,0,2026-07-15T08:51:17.813871
1,4,3,0,0,0,2026-07-15T08:51:18.295181
1,4,4,2,0,2,2026-07-15T08:51:19.005910
1,4,5,0,0,0,2026-07-15T08:51:19.474951
1,4,6,0,0,0,2026-07-15T08:51:20.036093
1,4,7,0,0,0,2026-07-15T08:51:20.509623
1,4,8,0,0,0,2026-07-15T08:51:21.098573
1,4,9,2,0,2,2026-07-15T08:51:21.600243
1,4,10,0,0,0,2026-07-15T08:51:22.414330
1,5,1,5,0,5,2026-07-15T08:51:22.939552
1,5,2,5,0,5,2026-07-15T08:51:23.393865
1,5,3,5,0,5,2026-07-15T08:51:24.493840
1,5,4,5,0,5,2026-07-15T08:51:25.121900
1,5,5,5,0,5,2026-07-15T08:51:25.587400
1,5,6,5,0,5,2026-07-15T08:51:26.144063
1,5,7,5,0,5,2026-07-15T08:51:26.686552
1,5,8,5,0,5,2026-07-15T08:51:27.204417
1,5,9,5,0,5,2026-07-15T08:51:27.723467
1,5,10,5,0,5,2026-07-15T08:51:28.527272
1,6,1,0,0,0,2026-07-15T08:51:29.007790
1,6,2,0,0,0,2026-07-15T08:51:29.494334
1,6,3,0,0,0,2026-07-15T08:51:29.935543
1,6,4,0,0,0,2026-07-15T08:51:30.485984
1,6,5,0,0,0,2026-07-15T08:51:31.058829
1,6,6,0,0,0,2026-07-15T08:51:31.498940
1,6,7,0,0,0,2026-07-15T08:51:32.052225
1,6,8,0,0,0,2026-07-15T08:51:32.568461
1,6,9,0,0,0,2026-07-15T08:51:33.153854
1,6,10,0,0,0,2026-07-15T08:51:33.711237
1,7,1,5,0,5,2026-07-15T08:51:34.165251
1,7,2,5,0,5,2026-07-15T08:51:34.578111
1,7,3,5,0,5,2026-07-15T08:51:35.030871
1,7,4,5,0,5,2026-07-15T08:51:35.555708
1,7,5,5,0,5,2026-07-15T08:51:36.025838
1,7,6,5,0,5,2026-07-15T08:51:36.548263
1,7,7,5,0,5,2026-07-15T08:51:37.352441
1,7,8,5,0,5,2026-07-15T08:51:37.849756
1,7,9,5,0,5,2026-07-15T08:51:38.364047
1,7,10,5,0,5,2026-07-15T08:51:38.964644
1,8,1,2,0,2,2026-07-15T08:51:39.582697
1,8,2,5,0,5,2026-07-15T08:51:40.183811
1,8,3,5,0,5,2026-07-15T08:51:40.736076
1,8,4,5,0,5,2026-07-15T08:51:41.247515
1,8,5,2,0,2,2026-07-15T08:51:42.061542
1,8,6,2,0,2,2026-07-15T08:51:42.652590
1,8,7,5,0,5,2026-07-15T08:51:43.365644
1,8,8,5,0,5,2026-07-15T08:51:43.934081
1,8,9,2,0,2,2026-07-15T08:51:44.460257
1,8,10,2,0,2,2026-07-15T08:51:44.941303
1,9,1,5,0,5,2026-07-15T08:51:45.706623
1,9,2,5,0,5,2026-07-15T08:51:46.203204
1,9,3,5,0,5,2026-07-15T08:51:46.661060
1,9,4,5,0,5,2026-07-15T08:51:47.191498
1,9,5,5,0,5,2026-07-15T08:51:47.670491
1,9,6,5,0,5,2026-07-15T08:51:48.216438
1,9,7,5,0,5,2026-07-15T08:51:48.760377
1,9,8,5,0,5,2026-07-15T08:51:49.267496
1,9,9,5,0,5,2026-07-15T08:51:49.839990
1,9,10,5,0,5,2026-07-15T08:51:50.332702
2,1,1,3,0,3,2026-07-15T08:51:50.831011
2,1,2,3,0,3,2026-07-15T08:51:51.469792
2,1,3,3,0,3,2026-07-15T08:51:52.202747
2,1,4,3,0,3,2026-07-15T08:51:53.041356
2,1,5,3,0,3,2026-07-15T08:51:53.516041
